Title,First air date,End date,Rating,Genres,Status,Network,Summary
Doc,2025-01-07,2025-10-21,6.9,"[""Drama"", ""Medical""]",Running,FOX,"centers on the hard-charging, brilliant Dr. Amy Larsen, Chief of Internal and Family Medicine at Westside Hospital in Minneapolis. After a brain injury erases the last eight years of her life, Amy must navigate an unfamiliar world where she has no recollection of patients she's treated, colleagues she's crossed, the soulmate she divorced, the man she now loves and the tragedy that caused her to push everyone away. She can rely only on her estranged 17-year-old daughter, whom she remembers as a 9-year-old, and a handful of devoted friends, as she struggles to continue practicing medicine, despite having lost nearly a decade of knowledge and experience."
The Bear,2022-06-23,2025-06-25,7.2,"[""Drama"", ""Comedy"", ""Food""]",Running,Hulu,"Carmy, a young fine-dining chef, comes home to Chicago to run his family sandwich shop. As he fights to transform the shop and himself, he works alongside a rough-around-the-edges crew that ultimately reveal themselves as his chosen family."
The Hunting Party,2025-01-19,2025-04-07,6.6,"[""Drama"", ""Crime"", ""Thriller""]",Running; returning 2026,NBC,"When a secret prison suffers a mysterious explosion that allows the nation's most violent serial killers to escape, a former profiler is thrust back into a thrilling game of cat and mouse. Alongside a team of soldiers, spies and special agents, she has no choice but to track down and recapture these dangerous criminals… before they kill again."
Upload,2020-05-01,2025-08-25,7.7,"[""Comedy"", ""Science-Fiction"", ""Mystery""]",Ended,Prime Video,"is a sci-fi sitcom that takes place in the near future, where people who are near death can be ""uploaded"" into a virtual afterlife of their choice. In 2033, secretly romantic Brooklyn-born Nora works customer service for a luxurious virtual reality environment. When handsome L.A. party boy Nathan's self-driving car crashes, his high-maintenance girlfriend uploads him permanently into Nora's VR world. Nora starts as Nathan's customer service ""angel"", but becomes so much more as she helps him find friendship, love and purpose."
Rick and Morty,2013-12-02,2025-07-27,8.8,"[""Comedy"", ""Adventure"", ""Science-Fiction""]",Running; returning 2026,Adult Swim,"Rick is a mentally gifted, but sociopathic and alcoholic scientist and a grandfather to Morty; an awkward, impressionable, and somewhat spineless teenage boy. Rick moves into the family home of Morty, where he immediately becomes a bad influence."
The Amazing Race,2002-03-11,2025-10-22,6.8,"[""Action"", ""Adventure"", ""Family""]",Running,CBS,"From athletes and actors to tattoo artists, social workers and musicians - a diverse mix of teams will need to utilize their street smarts and savvy know-how to compete in the race of their lifetime."
Will Trent,2023-01-03,2025-05-13,7.8,"[""Drama"", ""Crime""]",Running; returning 2026,ABC,"In Will Trent Special Agent Will Trent of the Georgia Bureau of Investigations was abandoned at birth and endured a harsh coming-of-age in Atlanta's overwhelmed foster care system. But now, determined to use his unique point of view to make sure no one is abandoned like he was, Trent has the highest clearance rate in the GBI."
Strike,2017-08-27,2024-12-16,8,"[""Drama"", ""Crime"", ""Mystery""]",Running; returning 2026,BBC iPlayer,"is a drama series based on the novels by Robert Galbraith. Cormoran Strike, an injured war veteran turned PI, and secretary Robin Ellacott seek the truth surrounding a mysterious death."
9-1-1: Nashville,2025-10-09,2025-10-23,7,"[""Drama"", ""Action"", ""Crime""]",Running,ABC,"is a high-octane procedural about heroic first responders, as well as their family saga of power and glamour set in one of America's most diverse and dynamic cities."
Paradise,2025-01-26,2025-03-04,7.4,"[""Drama"", ""Thriller""]",Running; returning 2026,Hulu,is set in a serene community inhabited by some of the world's most prominent individuals. But this tranquillity explodes when a shocking murder occurs and a high-stakes investigation unfolds.
Murderbot,2025-05-16,2025-07-11,7.3,"[""Comedy"", ""Action"", ""Science-Fiction""]",Running; returning 2026,Apple TV,"Based on Martha Wells' book series The Murderbot Diaries, an action-packed story about self-hacking security android who is horrified by human emotion yet drawn to its vulnerable clients. Murderbot must hide its free will and complete a dangerous assignment when all it really wants is to be left alone to watch futuristic soap operas and figure out its place in the universe."
Boston Blue,2025-10-17,2025-10-24,8.1,"[""Drama"", ""Crime""]",Running,CBS,"In Boston Blue, NYPD Detective Danny Reagan takes a position with Boston PD. Once in Boston, he is paired with Detective Lena Peters, the eldest daughter of a prominent law enforcement family."
The Voice,2016-02-29,2025-10-20,5.9,"[""Music""]",Running,NBC,"is a singing competition where famous musicians serve as coaches to mentor aspiring artists through a series of blind auditions, battles, and live performances, with the ultimate goal of finding and crowning America's best new vocal talent."
FBI: International,2021-09-21,2025-05-20,7.1,"[""Drama"", ""Crime""]",Ended,CBS,"follows the elite operatives of the Federal Bureau of Investigation's International Fly Team. Headquartered in Budapest, they travel the world with the mission of tracking and neutralizing threats against American citizens wherever they may be. Not allowed to carry guns, the Fly Team relies on intelligence, quick thinking and pure brawn as they put their lives on the line to protect the U.S. and its people."
Law & Order: Organized Crime,2021-04-01,2025-06-12,7.5,"[""Drama"", ""Crime""]",To Be Determined,Peacock,"In the nation's largest city, the vicious and violent members of the underworld are hunted by the detectives of the Organized Crime Control Bureau. These are their stories."
The Sandman,2022-08-05,2025-07-24,7.4,"[""Drama"", ""Fantasy""]",Ended,Netflix,"A rich blend of modern myth and dark fantasy in which contemporary fiction, historical drama and legend are seamlessly interwoven, The Sandman follows the people and places affected by Morpheus, the Dream King, as he mends the cosmic — and human — mistakes he's made during his vast existence."
Hell's Kitchen,2005-05-30,2025-10-23,6.8,"[""Food""]",Running,FOX,"In Hell's Kitchen, aspiring chefs are put through an intense culinary academy to prove they possess the right combination of ingredients to win a life-changing grand prize."
Based on a True Story,2023-06-08,2024-11-21,6.8,"[""Comedy"", ""Crime"", ""Thriller""]",Ended,Peacock,"is about a realtor, a plumber and a former tennis star whose lives unexpectedly collide, exposing America's obsession with true crime and murder."
The White Lotus,2021-07-11,2025-04-06,6.9,"[""Drama"", ""Comedy""]",Running; returning 2026,HBO,"A social satire set at an exclusive tropical resort, The White Lotus follows the exploits of various guests and employees over the span of a week."
Ironheart,2025-06-24,2025-07-01,5.4,"[""Action"", ""Science-Fiction""]",To Be Determined,Disney+,"Set after the events of ""Black Panther: Wakanda Forever,"" Ironheart pits technology against magic when Riri Williams - a young, genius inventor determined to make her mark on the world - returns to her hometown of Chicago. Her unique take on building iron suits is brilliant, but in pursuit of her ambitions, she finds herself wrapped up with the mysterious yet charming Parker Robbins aka ""The Hood""."
Grimm,2011-10-28,2017-03-31,8.4,"[""Drama"", ""Crime"", ""Supernatural""]",Ended,NBC,"is a drama series inspired by the classic Grimm Brothers' Fairy Tales. After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms"", he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm."
Evil,2019-09-26,2024-08-22,7.3,"[""Drama"", ""Thriller"", ""Supernatural""]",Ended,Paramount+,"is a psychological mystery that examines the origins of evil along the dividing line between science and religion. The series focuses on a skeptical female psychologist who joins a priest-in-training and a carpenter as they investigate the Church's backlog of unexplained mysteries, including supposed miracles, demonic possessions, and hauntings. Their job is to assess if there is a logical explanation or if something truly supernatural is at work."
Friends,1994-09-22,2004-05-06,8.5,"[""Comedy"", ""Romance""]",Ended,NBC,"Six young (20-something) people from New York City (Manhattan), on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life."
Untamed,2025-07-17,2025-07-17,7.1,"[""Crime"", ""Thriller"", ""Mystery""]",Running; returning 2026,Netflix,"follows Kyle Turner, a special agent for the National Parks Service who works to enforce human law in nature's vast wilderness. The investigation of a brutal death sends Turner on a collision course with the dark secrets within the park, and in his own past."
The Night Manager,2016-02-21,2016-03-27,8.2,"[""Drama"", ""Thriller"", ""Espionage""]",Running; returning 2025,BBC One,Drama series based on the John le Carré novel. A hotel night manager is recruited by a government agent to infiltrate the inner circle of a ruthless arms dealer.
NCIS: Los Angeles,2009-09-22,2023-05-21,7.9,"[""Drama"", ""Action"", ""Crime""]",Ended,CBS,"is a drama about the high-stakes world of a division of NCIS that is charged with apprehending dangerous and elusive criminals that pose a threat to the nation's security. By assuming false identities and utilizing the most advanced technology, this team of highly-trained agents goes deep undercover, putting their lives on the line in the field to bring down their targets."
The Gilded Age,2022-01-24,2025-08-10,7.6,"[""Drama"", ""History""]",Running; returning 2026,HBO,"The American Gilded Age was a period of immense economic change, of huge fortunes made and lost, and the rise of disparity between old money and new."
Revival,2025-06-12,2025-08-14,6.3,"[""Crime"", ""Science-Fiction"", ""Mystery""]",To Be Determined,Syfy,"is set on one miraculous day in rural Wisconsin when the recently deceased suddenly rise from their graves. But this is no zombie story as the ""revived"" appear and act just like they once were. When local Officer and single mother Dana Cypress is unexpectedly thrown into the center of a brutal murder mystery of her own, she's left to make sense of the chaos amidst a town gripped by fear and confusion where everyone, alive or undead, is a suspect."
Black Doves,2024-12-05,2024-12-05,6.9,"[""Drama"", ""Thriller"", ""Espionage""]",Running,Netflix,"Helen Webb, politician's wife, doting mother, and professional spy, has been passing on her husband's secrets to the Black Doves, the shadowy organization for whom she works. But when her lover Jason is assassinated, Helen's life is turned upside down, and only her old friend Sam Young can keep her safe. But Sam, a suave, champagne-drinking assassin, also has problems of his own. Out of the game, since his last job went wrong, he soon realizes his past is coming back to haunt him. Together, they set off on a mission that will lead them to uncover a vast, interconnected conspiracy. One that links the murky underworld of London to a looming geopolitical crisis — and leads them to question the cost of the moral choices they've made."
The Gentlemen,2024-03-07,2024-03-07,7.7,"[""Comedy"", ""Action"", ""Crime""]",Running; returning 2025,Netflix,"When aristocratic Eddie inherits the family estate, he discovers that it's home to an enormous weed empire — and its proprietors aren't going anywhere."
Chief of War,2025-08-01,2025-09-19,6.8,"[""Drama"", ""History""]",To Be Determined,Apple TV,follows the epic and unprecedented telling of the unification and colonization of Hawaii from an indigenous point of view.
Ted Lasso,2020-08-14,2023-05-31,8.1,"[""Drama"", ""Comedy"", ""Sports""]",Running; returning 2026,Apple TV,centers on an idealistic — and clueless — all-American football coach hired to manage an English football club — despite having no soccer coaching experience at all.
Good Omens,2019-05-31,2023-07-28,7.8,"[""Comedy"", ""Action"", ""Fantasy""]",Running; returning 2026,Prime Video,"According to The Nice and Accurate Prophecies of Agnes Nutter, Witch (the world's only completely accurate book of prophecies), the world will end on a Saturday. Next Saturday, in fact. Just before dinner."
The Ark,2023-02-01,2024-10-02,6.1,"[""Drama"", ""Science-Fiction""]",Running; returning 2026,Syfy,"takes place 100 years in the future when planetary colonization missions have begun as a necessity to help secure the survival of the human race. The first of these missions on a spacecraft known as Ark One encounters a catastrophic event causing massive destruction and loss of life. With more than a year left to go before reaching their target planet, a lack of life-sustaining supplies and loss of leadership, the remaining crew must become the best versions of themselves to stay on course and survive."
All Creatures Great and Small,2020-09-01,2025-10-23,8.2,"[""Drama""]",Running,5,chronicles the adventures of a young country veterinarian.
Minority Report,2015-09-21,2015-11-30,6.9,"[""Action"", ""Crime"", ""Science-Fiction""]",Ended,FOX,The future is coming.
Shetland,2013-03-10,2024-12-11,8.2,"[""Drama"", ""Crime"", ""Mystery""]",Running; returning 2025,BBC One,The dark side of one of the most beautiful places on earth. Uncovering secrets and lies from the past.
Outlander: Blood of My Blood,2025-08-08,2025-10-10,7.3,"[""Drama"", ""Adventure"", ""Romance""]",Running; returning 2026,STARZ,"explores the lives and relationship of Claire's parents, Julia Moriston and Henry Beauchamp, and Jamie's parents, Ellen MacKenzie and Brian Fraser. The series centers on these two parallel love stories set in two different time periods, with Jamie's parents in the early 18th-century Scottish Highlands and Claire's parents in WWI England."
Poker Face,2023-01-26,2025-07-10,7.1,"[""Drama"", ""Crime"", ""Mystery""]",To Be Determined,Peacock,"is a ""mystery-of-the-week"" series following Natasha Lyonne's Charlie Cale, who has an extraordinary ability to determine when someone is lying. She hits the road with her Plymouth Barracuda and with every stop encounters a new cast of characters and strange crimes she can't help but solve."
Once Upon a Time,2011-10-23,2018-05-18,7.5,"[""Drama"", ""Fantasy"", ""Romance""]",Ended,ABC,"is Fairy Tale Land. It's filled with magic, monsters and all of the characters we all know from stories growing up. It's real, and so are the people in it. But unlike the ""happily ever after"" you may have heard about, their stories continued, and The Evil Queen cast a Dark Curse over the land..."
Arrow,2012-10-10,2020-01-28,7.4,"[""Drama"", ""Action"", ""Science-Fiction""]",Ended,The CW,"After a violent shipwreck, billionaire playboy Oliver Queen was missing and presumed dead for five years before being discovered alive on a remote island in the Pacific. He returned home to Starling City, welcomed by his devoted mother Moira, beloved sister Thea and former flame Laurel Lance. With the aid of his trusted chauffeur/bodyguard John Diggle, the computer-hacking skills of Felicity Smoak and the occasional, reluctant assistance of former police detective, now beat cop, Quentin Lance, Oliver has been waging a one-man war on crime."
Twisted Metal,2023-07-27,2025-08-28,6.9,"[""Action"", ""Fantasy"", ""Science-Fiction""]",To Be Determined,Peacock,"is about a motor-mouthed outsider offered a chance at a better life, but only if he can successfully deliver a mysterious package across a post-apocalyptic wasteland. With the help of a trigger-happy car thief, he faces savage marauders driving vehicles of destruction and other dangers of the open road, including a deranged clown who drives an all too familiar ice cream truck."
Bridgerton,2020-12-25,2024-06-13,7.3,"[""Drama"", ""Romance""]",Running; returning January 2026,Netflix,"Based on Julia Quinn's best-selling series of novels, Bridgerton is set in the sexy, lavish and competitive world of Regency London high society. From the glittering ballrooms of Mayfair to the aristocratic palaces of Park Lane and beyond, the series unveils a seductive, sumptuous world replete with intricate rules and dramatic power struggles, where no one is truly ever on steady ground. At the heart of the show is the powerful Bridgerton family. Comprised of eight close-knit siblings, this funny, witty, daring and clever group must navigate the upper ten thousand's marriage mart in search of romance, adventure and love."
Bosch,2015-02-13,2021-06-25,8.5,"[""Drama"", ""Crime"", ""Mystery""]",Ended,Prime Video,"Based on Michael Connelly's best-selling novels, Harry Bosch, an LAPD homicide detective, stands trial for the fatal shooting of a serial murder suspect. A cold case involving the remains of a missing boy forces Bosch to confront his past."
Agatha All Along,2024-09-18,2024-10-30,6.3,"[""Comedy"", ""Action"", ""Science-Fiction""]",To Be Determined,Disney+,"In Agatha All Along, the infamous Agatha Harkness finds herself down and out of power after a suspicious goth Teen helps break her free from a distorted spell. Her interest is piqued when he begs her to take him on the legendary Witches' Road, a magical gauntlet of trials that, if survived, rewards a witch with what they're missing. Together, Agatha and this mysterious Teen pull together a desperate coven, and set off down, down, down The Road..."
Line of Duty,2012-06-26,2021-05-02,8.6,"[""Drama"", ""Crime"", ""Thriller""]",To Be Determined,BBC One,"A drama about the investigations of AC-12, a controversial Police Anti-Corruption Unit."
Dept. Q,2025-05-29,2025-05-29,8.1,"[""Drama"", ""Crime"", ""Thriller""]",Running,Netflix,"DCI Carl Morck is a brilliant cop but a terrible colleague. His razor-sharp sarcasm has made him no friends in Edinburgh police. After a shooting that leaves a young PC dead, and his partner paralysed, he finds himself exiled to the basement and the sole member of Department Q; a newly formed cold case unit. The department is a PR stunt, there to distract the public from the failures of an under-resourced, failing police force that is glad to see the back of him. But more by accident than design, Carl starts to build a gang of waifs and strays who have everything to prove. So, when the stone-cold trail of a prominent civil servant who disappeared several years ago starts to heat up, Carl is back doing what he does best - rattling cages and refusing to take no for an answer."
Star Wars: Skeleton Crew,2024-12-02,2025-01-14,6.9,"[""Action"", ""Adventure"", ""Science-Fiction""]",To Be Determined,Disney+,"The journey of four kids who make a mysterious discovery on their seemingly safe home planet, then get lost in a strange and dangerous galaxy. Finding their way home — and meeting unlikely allies and enemies — will be a greater adventure than they ever imagined."
Lucifer,2016-01-25,2021-09-10,8.3,"[""Drama"", ""Crime"", ""Supernatural""]",Ended,Netflix,The Devil has come to Los Angeles…
The Librarians: The Next Chapter,2025-05-25,2025-08-04,6.5,"[""Adventure"", ""Fantasy""]",Running; returning 2026,TNT,"centers on Vikram Chamberlain, a ""Librarian"" from the past who time traveled from 1847 and now finds himself stuck in the present. When Vikram returns to his castle in Belgrade, Serbia and discovers that it is now a museum, he inadvertently releases magic across the continent. With the help of a new team of eclectic heroes, including a savant in world history, a scientific genius, and a highly skilled Guardian, Vikram has only six months to clean up the mess he made."
Deadliest Catch,2005-04-12,2025-10-24,7.4,"[""Action"", ""Adventure"", ""Nature""]",Running,Discovery,"It's the deadliest job on earth: crab fishing off the Alaskan coast on the icy Bering Sea. These adventurers will battle Arctic weather, brutal waves, and a ticking clock for big money in this modern-day gold rush from which they may never return."
